Year ,GDP,Population,GDP per Capita
1950,410079,50616014,8101.763999
1951,425257,50601935,8403.967161
1952,431636,50651280,8521.719491
1953,455625,50750976,8977.659858
1954,475447,50890915,9342.473013
1955,494517,51063902,9684.277555
1956,502864,51265880,9808.941152
1957,512806,51495702,9958.229135
1958,519690,51754673,10041.41211
1959,541887,52045662,10411.76112
1960,576144,52370602,11001.28656
1961,591529,52727768,11218.54807
1962,597893,53109399,11257.76249
1963,626797,53500716,11715.67498
1964,662544,53882751,12296.03143
1965,676536,54240850,12472.81339
1966,687017,54568868,12589.90749
1967,705998,54866534,12867.55238
1968,744483,55132596,13503.49982
1969,758753,55367947,13703.83121
1970,779191,55573453,14020.9211
1971,807283,55748531,14480.79412
1972,841952,55892418,15063.79631
1973,896657,56006296,16009.93217
1974,874193,56092066,15584.96704
1975,861030,56152333,15333.82415
1976,886970,56188348,15785.6572
1977,908576,56203595,16165.79865
1978,946515,56205913,16840.1321
1979,981743,56205083,17467.15684
1980,961530,56209171,17106.28324
1981,954866,56220735,16984.23189
1982,973684,56241412,17312.58099
1983,1014561,56276798,18028.05128
1984,1037295,56332901,18413.66203
1985,1080084,56413553,19145.82476
1986,1114157,56522503,19711.74206
1987,1174273,56658270,20725.53574
1988,1240052,56812757,21826.99917
1989,1270365,56974297,22297.15972
1990,1278416,57134391,22375.59511
1991,1263249,57290785,22049.77642
1992,1267206,57446037,22059.06736
1993,1297628,57602284,22527.37062
1994,1346524,57763378,23311.03281
1995,1379430,57932453,23811.00624
1996,1412926,58113557,24313.19081
1997,1482289,58307313,25422.00839
1998,1529040,58509974,26132.98034
1999,1574760,58715854,26820.01355
2000,1632591,58923309,27707.04884
2001,1666429,59124288,28185.18508
2002,1701811,59326294,28685.61114
2003,1753374,59561432,29438.07664
2004,1794677,59872753,29974.8535
2005,1841218,60287954,30540.39618
2006,1888797,60821356,31054.83212
2007,1931663,61455162,31432.07075
2008,1927034,62145097,31008.62486
2009,1845186,62828616,29368.56034
2010,1884515,63459808,29696.19763
2011,1911983,64021919,29864.50625
2012,1940087,64525312,30067.06887
2013,1976755,64984018,30419.09474
2014,2035883,65423047,31118.74322
2015,2089276,65860146,31722.91783
2016,2136566,66297944,32226.73089
2017,2182170,66727461,32702.72789
2018,2218196,67141684,33037.53895
2019,2255283,67530172,33396.67194
2020,2036660,67886011,30001.17358
