,Countries,Sum,Rank,Medal Points,2016
0,United States,121,1.0,250,19097.5
1,Great Britain,67,3.0,144,2999.29
2,China,70,2.0,140,18595.2
3,Russian Federation,56,4.0,112,3738.84
4,Germany,42,5.5,86,4272.22
5,Japan,41,7.0,73,5175.55
6,France,42,5.5,80,2916.19
7,Republic of Korea,21,11.0,42,2039.22
8,Italy,28,9.0,56,2475.89
9,Australia,29,8.0,56,1163.97
10,Netherlands,19,12.5,42,917.045
11,Hungary,15,18.5,34,276.935
12,Brazil,19,12.5,39,2979.29
13,Spain,17,16.5,35,1788.59
14,Kenya,13,20.5,31,203.35
15,Jamaica,11,24.0,26,27.763609394
16,Croatia,10,28.0,23,108.3
17,Cuba,11,24.0,23,
18,New Zealand,18,14.5,35,196.446
19,Canada,22,10.0,33,1713.67
20,Uzbekistan,13,20.5,23,212.233
21,Kazakhstan,17,16.5,28,430.809
22,Colombia,8,33.0,16,683.821
23,Switzerland,7,37.0,15,574.941
24,Iran,8,33.0,15,1130.22
25,Greece,6,40.0,13,304.313
26,Argentina,4,47.5,11,1010.84
27,Denmark,15,18.5,25,310.372
28,Sweden,11,24.0,21,509.396
29,South Africa,10,28.0,20,781.126
30,Ukraine,11,24.0,20,492.284
31,Serbia,8,33.0,16,114.224
32,Poland,11,24.0,18,1089.08
33,DPR Korea,7,37.0,14,
34,Belgium,6,40.0,12,564.644
35,Thailand,6,40.0,12,1157.48
36,Slovakia,4,47.5,10,158.78
37,Georgia,7,37.0,12,48.322420425
38,Azerbaijan,18,14.5,27,138.875
39,Belarus,9,30.0,15,169.342
40,Turkey,8,33.0,13,2106.26
41,Armenia,4,47.5,9,33.187468758
42,Czech Republic,10,28.0,14,391.112
43,Ethiopia,8,33.0,12,196.318
44,Slovenia,4,47.5,8,71.972995814
45,Indonesia,3,53.5,7,2754.48
46,Romania,5,43.0,8,495.414
47,Bahrain,2,61.5,5,68.349250017
48,Vietnam,2,61.5,5,633.738
49,Bahamas,2,61.5,4,13.492316077
50,Fiji,1,77.0,3,11.184905324
51,Jordan,1,77.0,3,95.892008153
52,Kosovo,1,77.0,3,17.830752782
53,Puerto Rico,1,77.0,3,117.665
54,Singapore,1,77.0,3,511.987
55,Tajikistan,1,77.0,3,26.971913999
56,Malaysia,5,43.0,9,783.74
57,Mexico,5,43.0,8,2409.84
58,Algeria,2,61.5,4,479.567
59,Ireland,2,61.5,4,343.098
60,Lithuania,4,47.5,5,91.570579073
61,Bulgaria,3,53.5,4,147.837
62,Venezuela,3,53.5,4,
63,India,2,61.5,3,7750.27
64,Mongolia,2,61.5,3,33.503698721
65,Burundi,1,77.0,2,8.333811187
66,Grenada,1,77.0,2,1.721679317
67,Niger,1,77.0,2,23.931559623
68,Philippines,1,77.0,2,798.735
69,Qatar,1,77.0,2,253.763
70,Norway,4,47.5,4,330.32
71,Egypt,3,53.5,3,1019.63
72,Tunisia,3,53.5,3,125.629
73,Israel,2,61.5,2,326.581
74,Austria,1,77.0,1,466.064
75,Dominican Republic,1,77.0,1,168.096
76,Estonia,1,77.0,1,42.117035737
77,Finland,1,77.0,1,253.92
78,Morocco,1,77.0,1,253.43
79,Republic of Moldova,1,77.0,1,30.662887782
80,Nigeria,1,77.0,1,982.78
81,Portugal,1,77.0,1,328.84
82,Trinidad and Tobago,1,77.0,1,37.582478505
83,United Arab Emirates,1,77.0,1,622.607
